Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
TbP2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.12638862,3.4922617028748935,24.923409
CuN2,2,bottom-up,Pmmm,mmm,orthorhombic,0.0,False,2.82016105,4.68474265,20.816747
In3Os2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.26589022,3.26589022,25.544133
Sr2Si,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.01330000000000009,True,8.567168208641485,8.570928978119964,28.824571
BaU,2,bottom-up,P3m1,3m,trigonal,0.0,False,3.33068613,3.3306864473989823,23.108247
RhC2,2,bottom-up,C2/m,2/m,monoclinic,0.0,False,2.786437,3.6435462145909443,24.321311
Sr3Ge,2,bottom-up,P4mm,4mm,tetragonal,0.12640000000000007,False,5.08012333,5.07307946,22.353476
GeO,2,bottom-up,C2/m,2/m,monoclinic,2.7224,False,3.2965027599362964,3.2965033987313657,22.789061
BiTe,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,4.607542707441501,4.916592904318608,22.849215
TiTe3,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,3.75556613,5.95449649,26.856246
Ga3Ru2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.0809275,3.0809275,25.544133
HoS3,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.67817337,3.67817337,29.088529
YbI3,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,4.2312222,9.52399742,23.788895
NdPb5,2,bottom-up,Pmmm,mmm,orthorhombic,0.0,False,4.38503234,7.04708323,23.414028
Ga2Se3,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.74879584,3.7487952935021096,26.456756
KC12,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,4.2923148,4.292315401941104,23.785746
YP2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.14269614,3.477225890151066,24.904261
NaC12,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,4.30140853,4.301409142066322,23.785746
SnS2,2,bottom-up,P-4m2,-42m,tetragonal,1.4874,False,3.75894804,3.75894804,22.855457
TiSe3,2,bottom-up,Pmmn,mmm,orthorhombic,0.03689999999999993,True,3.56203249,5.35048635,26.856246
AlNi2,2,bottom-up,P-6m2,-6m2,hexagonal,0.0,False,2.6481742208057457,2.6481746731775893,22.780419
In2S3,2,bottom-up,P-3m1,-3m,trigonal,1.2342000000000002,False,3.83196709,3.8319664980550425,26.456756
KC2,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.3969000000000005,True,4.28817222,4.28817222,24.906801
Sr3Sn,2,bottom-up,P4mm,4mm,tetragonal,0.17110000000000003,False,5.22036316,5.22124759,22.353476
SrBi2,2,bottom-up,C2/m,2/m,monoclinic,0.0,False,3.5771827400000005,7.549623013932999,24.980012
TlPt2,2,bottom-up,P-6m2,-6m2,hexagonal,0.0,False,2.8623803032765336,2.862380667541966,22.780419
CaBi2,2,bottom-up,C2/m,2/m,monoclinic,0.0,False,3.48495202,7.045529717000804,24.980012
Mg3Sn,2,bottom-up,P4mm,4mm,tetragonal,0.0,False,4.28033775,4.26903229,22.353476
CeBe2,2,bottom-up,Pmma,mmm,orthorhombic,0.0,False,2.7618778,4.15308613,27.931777
TmBi2,2,bottom-up,C222,222,orthorhombic,0.0,False,3.42883493,3.5402495001271563,24.898708
TmS3,2,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.56022429,3.58281649,30.381957
BaSr,2,bottom-up,P3m1,3m,trigonal,0.0,False,4.28952519,4.289525607770642,34.509042
CaN2,2,bottom-up,Cm,m,monoclinic,0.07830000000000004,False,4.642307083031765,6.032050194641219,24.980012
LiSn2,2,bottom-up,P4mm,4mm,tetragonal,0.0,False,2.96179817,2.96179817,24.320905
